# SDSS (AB)                                                       
#  filters spectra  num Av  num Rv version
#        5     902      13       1       2
# lgTef  logg  Fe_H a_Fe   Av   Rv               SDSS_u               SDSS_g               SDSS_r               SDSS_i               SDSS_z
3.20841 -0.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  0.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  0.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  1.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  1.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  2.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  2.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  3.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  3.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  4.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  4.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  5.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  5.50  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  6.00  0.00  0.0 0.00 3.10             -14.9475              -9.1753              -5.5997              -3.5538              -2.0503
3.20841  6.50  0.00  0.0 0.00 3.10              -5.2804              -0.6056               1.2647              -0.2561               0.0171
3.20841  7.00  0.00  0.0 0.00 3.10              -4.8655              -0.2981               1.3771              -0.3939              -0.1214
3.20841  7.50  0.00  0.0 0.00 3.10              -4.5168              -0.1045               1.4045              -0.4745              -0.1798
3.20841  8.00  0.00  0.0 0.00 3.10              -4.1475               0.0908               1.4464              -0.4638              -0.1522
3.20841  8.50  0.00  0.0 0.00 3.10              -3.7420               0.3116               1.5287              -0.3538              -0.0433
3.20841  9.00  0.00  0.0 0.00 3.10              -3.3664               0.3318               1.5113              -0.1610               0.1524
3.20841  9.50  0.00  0.0 0.00 3.10              -2.5887               1.2604               2.2200               0.0769               0.3629
3.22122 -1.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122 -0.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  0.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  0.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  1.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  1.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  2.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  2.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  3.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  3.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  4.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  4.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  5.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  5.50  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  6.00  0.00  0.0 0.00 3.10             -14.3115              -8.7390              -5.2797              -3.3090              -1.8663
3.22122  6.50  0.00  0.0 0.00 3.10              -5.2744              -0.6409               1.2398              -0.1725               0.0843
3.22122  7.00  0.00  0.0 0.00 3.10              -4.8577              -0.3422               1.3537              -0.3038              -0.0509
3.22122  7.50  0.00  0.0 0.00 3.10              -4.5249              -0.1548               1.3852              -0.3851              -0.1126
3.22122  8.00  0.00  0.0 0.00 3.10              -4.1697               0.0328               1.4250              -0.3852              -0.0946
3.22122  8.50  0.00  0.0 0.00 3.10              -3.7791               0.2414               1.5017              -0.2867              -0.0002
3.22122  9.00  0.00  0.0 0.00 3.10              -3.4087               0.2383               1.4640              -0.1106               0.1778
3.22122  9.50  0.00  0.0 0.00 3.10              -2.7673               1.0989               2.0933               0.1168               0.3812
3.23667 -1.00  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
3.23667 -0.50  0.00  0.0 0.00 3.10             -13.5443              -8.2126              -4.8936              -3.0137              -1.6442
