 ID    x    y  bsize          mjd    zpt  fluxADU  flux_err  X2norm  Npix  Nmask         Jyas2    Jyas2_err     SB   SB_err                                                                fitsfile   skip  imID filter CONVOL00 PHOTNORM  KSUM00  FSIG00  FSCAT00  FWHM  M5SIGMA  SKYADU   muJyas2  muJyas2_err  im_expnum  g_ixs_flag      peak_loc good_image      new_mjd  new_muJyas2  new_muJyas2_err
 11 2062 2275      3 56341.286605 30.494     1.05      3.97    0.77     9      9  3.322000e-08 1.256000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.033220       0.1256     178884        True  60607.661585       True 56018.728700     0.462207         0.234200
  4 2094 2304      3 56255.304405 30.494     1.96      5.81    1.10     9      9  6.209000e-08 1.836000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0  0.062090       0.1836     155038        True  60480.628259       True 56022.025920     0.317089         0.301482
 14 2059 2285      3 56255.304405 30.494    13.43      6.45    0.70     9      9  4.245000e-07 2.040000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0  0.424500       0.2040     155038        True   60513.85236       True 56022.025920     1.099237         0.321703
 14 2059 2285      3 56255.305900 30.494     1.95      5.97    1.08     9      9  6.159000e-08 1.888000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0  0.061590       0.1888     155039        True   60513.85236       True 56022.027415     0.526936         0.297733
  4 2094 2304      3 56255.305900 30.494     4.27      6.19    1.10     9      9  1.348000e-07 1.956000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0  0.134800       0.1956     155039        True  60480.628259       True 56022.027415     0.436484         0.321187
  0 2069 2290      3 56255.304405 30.494    -1.37      5.89    1.13     9      9 -4.341000e-08 1.863000e-07    NaN      NaN     ec0915.121124.155038_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     0      g TEMPLATE        t  0.5692   1.292    0.087 4.522   23.070   451.0 -0.043410       0.1863     155038        True  60473.788003       True 56025.865895     0.017313         0.278288
  0 2069 2290      3 56255.305900 30.494    16.06      5.75    2.23     9      9  5.076000e-07 1.819000e-07    NaN      NaN     ec0915.121124.155039_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     1      g TEMPLATE        t  0.5700   1.282    0.080 4.591   23.052   463.0  0.507600       0.1819     155039        True  60473.788003       True 56025.867390     0.840392         0.271716
 13 2050 2286      3 56341.278127 30.494     1.11      3.75    0.78     9      9  3.522000e-08 1.186000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0  0.035220       0.1186     178882        True  60591.049535       True 56027.360166     0.518105         0.226607
 13 2050 2286      3 56341.283970 30.494     2.50      3.76    1.26     9      9  7.901000e-08 1.187000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0  0.079010       0.1187     178883        True  60591.049535       True 56027.366009     0.601774         0.226798
 13 2050 2286      3 56341.286605 30.494     2.83      3.70    0.41     9      9  8.941000e-08 1.168000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.089410       0.1168     178884        True  60591.049535       True 56027.368644     0.621645         0.223168
