mjd,g-i
54053.23630902411,0.5867015547440175
54054.23630902411,0.588173980306852
54055.23630902411,0.5896464058696829
54056.23630902411,0.5911188314325138
54057.23630902411,0.5925912569953482
54058.23630902411,0.5940636825581826
54059.23630902411,0.5955361081210171
54060.23630902411,0.597008533683848
54061.23630902411,0.5984809592466824
54062.23630902411,0.5999533848095133
54063.23630902411,0.6014258103723513
54064.23630902411,0.6028982359351822
54065.23630902411,0.6043706614980096
54066.23630902411,0.6058430870608511
54067.23630902411,0.607315512623682
54068.23630902411,0.6087879381865093
54069.23630902411,0.6102603637493438
54070.23630902411,0.6117327893121818
54071.23630902411,0.6132052148750162
54072.23630902411,0.6146776404378471
54073.23630902411,0.6161500660006816
54074.23630902411,0.6176224915635125
54075.23630902411,0.6190949171263469
54076.23630902411,0.6205673426891778
54077.23630902411,0.6220397682520122
54078.23630902411,0.6235121938148502
54079.23630902411,0.6249846193776776
54080.23630902411,0.626457044940512
54081.23630902411,0.6279294705033429
54082.23630902411,0.6294018960661809
54083.23630902411,0.6308743216290118
54084.23630902411,0.6323467471918427
54085.23630902411,0.6338191727546807
54086.23630902411,0.6352915983175116
54087.23630902411,0.6367640238803425
54088.23630902411,0.6382364494431769
54089.23630902411,0.6397088750060114
54090.23630902411,0.6411813005688423
54091.23630902411,0.6426537261316767
54092.23630902411,0.6441261516945112
54093.23630902411,0.6455985772573456
54094.23630902411,0.64707100282018
54095.23630902411,0.6485434283830074
54096.23630902411,0.6500158539458418
54097.23630902411,0.6514882795086763
54098.23630902411,0.6529607050715107
54099.23630902411,0.6544331306343381
54100.23630902411,0.6559055561971796
54101.23630902411,0.657377981760007
54102.23630902411,0.6588504073228414
54103.23630902411,0.6603228328856723
54104.23630902411,0.6617952584485067
54105.23630902411,0.6632676840113376
54106.23630902411,0.6647401095741756
54107.23630902411,0.6662125351370065
54108.23630902411,0.667684960699841
54109.23630902411,0.6691573862626754
54110.23630902411,0.6706298118255063
54111.23630902411,0.6721022373883443
54112.23630902411,0.6735746629511716
54113.23630902411,0.6750470885140061
54114.23630902411,0.6765195140768405
54115.23630902411,0.677991939639675
54116.23630902411,0.6794643652025059
54117.23630902411,0.6809367907653403
54118.23630902411,0.6824092163281712
54119.23630902411,0.6838816418910092
54120.23630902411,0.6853540674538365
54121.23630902411,0.6868264930166745
54122.23630902411,0.6882989185795019
54123.23630902411,0.6897713441423399
54124.23630902411,0.6912437697051743
54125.23630902411,0.6927161952680017
54126.23630902411,0.6941886208308361
54127.23630902411,0.6956610463936741
54128.23630902411,0.697133471956505
54129.23630902411,0.6986058975193359
54130.23630902411,0.7000783230821703
54131.23630902411,0.7015507486450012
54132.23630902411,0.7030231742078357
54133.23630902411,0.7044955997706701
54134.23630902411,0.7059680253335046
54135.23630902411,0.7074404508963354
54136.23630902411,0.7089128764591699
54137.23630902411,0.7103853020220008
54138.23630902411,0.7118577275848352
54139.23630902411,0.7133301531476697
54140.23630902411,0.7148025787105041
54141.23630902411,0.7162750042733315
54142.23630902411,0.7177474298361695
54143.23630902411,0.7192198553990039
54144.23630902411,0.7206922809618348
54145.23630902411,0.7221647065246657
54146.23630902411,0.7236371320875001
54147.23630902411,0.7251095576503346
54148.23630902411,0.7265819832131655
54149.23630902411,0.7280544087759999
54150.23630902411,0.7295268343388379
54151.23630902411,0.7309992599016653
54152.23630902411,0.7324716854644997
54153.23630902411,0.7339441110273306
54154.23630902411,0.735416536590165
54155.23630902411,0.7368889621529995
54156.23630902411,0.7383613877158304
54157.23630902411,0.7398338132786648
54158.23630902411,0.7413062388414993
54159.23630902411,0.7427786644043337
54160.23630902411,0.7442510899671646
54161.23630902411,0.745723515529999
54162.23630902411,0.7471959410928299
54163.23630902411,0.7485724284756614
54164.23630902411,0.7499173852074428
54165.23630902411,0.7512623419392241
54166.23630902411,0.7526072986710055
54167.23630902411,0.7539522554027833
54168.23630902411,0.7552972121345647
54169.23630902411,0.756642168866346
54170.23630902411,0.7579871255981274
54171.23630902411,0.7593320823299088
54172.23630902411,0.7606770390616866
54173.23630902411,0.762021995793468
54174.23630902411,0.7633669525252529
54175.23630902411,0.7647119092570307
54176.23630902411,0.7660568659888085
54177.23630902411,0.7674018227205863
54178.23630902411,0.7687467794523712
54179.23630902411,0.7700917361841526
54180.23630902411,0.7714366929159304
54181.23630902411,0.7727816496477118
54182.23630902411,0.7741266063794932
54183.23630902411,0.7754715631112745
54184.23630902411,0.7768165198430523
54185.23630902411,0.7781614765748337
54186.23630902411,0.7795064333066151
54187.23630902411,0.7808513900383929
54188.23630902411,0.7821963467701778
54189.23630902411,0.7835413035019592
54190.23630902411,0.784886260233737
54191.23630902411,0.7862312169655183
54192.23630902411,0.7875761736972997
54193.23630902411,0.7889211304290775
54194.23630902411,0.7902660871608589
54195.23630902411,0.7916110438926438
54196.23630902411,0.7929560006244181
54197.23630902411,0.794300957356203
54198.23630902411,0.7956459140879844
54199.23630902411,0.7969908708197586
54200.23630902411,0.7983358275515435
54201.23630902411,0.7996807842833249
54202.23630902411,0.8010257410151027
54203.23630902411,0.8023706977468841
54204.23630902411,0.8037156544786654
54205.23630902411,0.8050606112104433
54206.23630902411,0.8064055679422246
54207.23630902411,0.8077505246740095
54208.23630902411,0.8090954814057838
54209.23630902411,0.8104404381375687
54210.23630902411,0.8117853948693501
54211.23630902411,0.8131303516011279
54212.23630902411,0.8144753083329093
54213.23630902411,0.8158202650646906
54214.23630902411,0.8171652217964684
54215.23630902411,0.8185101785282498
54216.23630902411,0.8198551352600347
54217.23630902411,0.8212000919918125
54218.23630902411,0.8225450487235939
54219.23630902411,0.8238900054553753
54220.23630902411,0.8252349621871531
54221.23630902411,0.8265799189189345
54222.23630902411,0.8279248756507158
54223.23630902411,0.8292698323824936
54224.23630902411,0.830614789114275
54225.23630902411,0.8319597458460564
54226.23630902411,0.8333047025778377
54227.23630902411,0.8346496593096191
54228.23630902411,0.8359946160414005
54229.23630902411,0.8373395727731783
54230.23630902411,0.8386845295049596
54231.23630902411,0.840029486236741
54232.23630902411,0.8413744429685224
54233.23630902411,0.8427193997003002
54234.23630902411,0.8440643564320851
54235.23630902411,0.8454093131638665
54236.23630902411,0.8467542698956407
54237.23630902411,0.8480992266274221
54238.23630902411,0.8494441833591999
54239.23630902411,0.8507891400909848
54240.23630902411,0.8521340968227662
54241.23630902411,0.853479053554544
54242.23630902411,0.8548240102863254
54243.23630902411,0.8561689670181067
54244.23630902411,0.8575139237498881
54245.23630902411,0.8588588804816659
54246.23630902411,0.8602038372134508
54247.23630902411,0.8615487939452322
54248.23630902411,0.86289375067701
54249.23630902411,0.8642387074087914
54250.23630902411,0.8655836641405728
54251.23630902411,0.8669286208723506
54252.23630902411,0.8682735776041319
54253.23630902411,0.8696185343359133
54254.23630902411,0.8709634910676947
54255.23630902411,0.872308447799476
54256.23630902411,0.8736534045312574
54257.23630902411,0.8749983612630317
54258.23630902411,0.876343317994813
54259.23630902411,0.8776882747265979
54260.23630902411,0.8790332314583758
54261.23630902411,0.8803781881901607
54262.23630902411,0.8817231449219385
