ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,mJyas2,mJyas2_err
30,4011,816,3,57847.12133,30.236,,,,0,0,,,,,ec0915.170404.636944_ooi_r_vx_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,393,r,TEMPLATE,t,0.9283,1.652,0.208,4.079,23.004,1022.0,,
30,4011,816,3,57848.989641,30.236,180.1,7.17,1.59,9,9,7.221e-06,2.874e-07,21.754,0.043221,ec0915.170405.637487_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,399,r,TEMPLATE,t,1.1422,1.527,0.227,3.644,22.877,2276.0,7.221,0.2874
30,4011,816,3,57872.964702,30.236,189.32,9.36,0.76,9,9,7.59e-06,3.754e-07,21.699,0.053695,ec0915.170429.645090_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,409,r,TEMPLATE,t,0.9656,1.604,0.287,2.711,23.063,2087.0,7.59,0.3754
30,4011,816,3,57873.969197,30.236,170.71,7.68,0.26,9,9,6.844e-06,3.079e-07,21.812,0.048853,ec0915.170430.645614_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,418,r,TEMPLATE,t,0.9647,1.711,0.317,3.173,23.166,1430.0,6.844,0.3079
30,4011,816,3,57873.973357,30.236,169.77,7.42,1.43,9,9,6.806e-06,2.974e-07,21.818,0.047443,ec0915.170430.645616_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,421,r,TEMPLATE,t,0.965,1.519,0.265,3.308,23.12,1463.0,6.806,0.2974
30,4011,816,3,57935.017948,30.236,145.75,7.82,0.66,9,9,5.843e-06,3.135e-07,21.983,0.05824,ec0915.170701.657443_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,464,r,TEMPLATE,t,0.9659,1.508,0.265,3.119,23.049,1661.0,5.843,0.3135
30,4011,816,3,57935.017948,30.236,132.49,7.32,0.71,9,9,5.312e-06,2.936e-07,22.087,0.060002,ec0915.170701.657443_ooi_r_vx_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,465,r,TEMPLATE,t,0.9377,1.852,0.336,3.125,23.201,1133.0,5.312,0.29359999999999997
30,4011,816,3,57937.023681,30.236,145.37,8.04,0.18,9,9,5.828e-06,3.222e-07,21.986,0.060021,ec0915.170703.658353_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,473,r,TEMPLATE,t,0.9498,1.222,0.135,4.219,22.672,2063.0,5.828,0.3222
30,4011,816,3,57950.992196,30.236,48.7,7.72,0.58,9,9,1.953e-06,3.096e-07,23.173,0.172134,ec0915.170716.659070_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,478,r,TEMPLATE,t,0.9372,1.128,0.12,8.837,22.066,1554.0,1.9530000000000003,0.30960000000000004
30,4011,816,3,58143.321395,30.236,44.46,6.86,0.41,9,9,1.782e-06,2.748e-07,23.273,0.167413,ec0915.180125.715497_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,486,r,TEMPLATE,t,0.9124,1.212,0.179,4.154,22.864,1319.0,1.782,0.2748
30,4011,816,3,58188.054672,30.236,26.72,7.13,0.75,9,9,1.071e-06,2.858e-07,23.825,0.289712,ec0915.180311.728978_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,504,r,TEMPLATE,t,0.894,1.134,0.15,4.884,22.58,1475.0,1.071,0.2858
30,4011,816,3,58188.058831,30.236,41.45,7.41,2.91,9,9,1.662e-06,2.971e-07,23.349,0.19411,ec0915.180311.728980_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,507,r,TEMPLATE,t,0.8949,1.386,0.213,4.747,22.716,1199.0,1.662,0.2971
30,4011,816,3,58225.983353,30.236,40.31,7.91,1.1,9,9,1.616e-06,3.171e-07,23.379,0.213038,ec0915.180417.736456_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,510,r,TEMPLATE,t,0.9032,0.991,0.131,4.534,22.501,1884.0,1.616,0.3171
30,4011,816,3,58232.980215,30.236,31.8,9.33,1.84,9,9,1.275e-06,3.742e-07,23.636,0.318621,ec0915.180424.738616_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,516,r,TEMPLATE,t,0.9303,1.069,0.154,3.827,22.535,2562.0,1.2750000000000001,0.3742
30,4011,816,3,58246.000597,30.236,47.91,11.5,0.6,9,9,1.921e-06,4.609e-07,23.191,0.260506,ec0915.180508.743627_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,522,r,TEMPLATE,t,0.6285,1.048,0.104,4.719,22.108,1922.0,1.9209999999999998,0.46090000000000003
30,4011,816,3,58261.077132,30.236,38.76,7.88,0.12,9,9,1.554e-06,3.161e-07,23.421,0.220848,ec0915.180523.750066_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,528,r,TEMPLATE,t,0.9239,1.439,0.215,3.316,22.959,1737.0,1.554,0.3161
30,4011,816,3,58261.085404,30.236,63.26,8.25,0.6,9,9,2.536e-06,3.307e-07,22.89,0.141563,ec0915.180523.750070_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,534,r,TEMPLATE,t,0.9285,1.385,0.199,3.295,22.934,1769.0,2.536,0.3307
30,4011,816,3,58313.983799,30.236,45.58,6.76,0.49,9,9,1.827e-06,2.711e-07,23.245,0.16109,ec0915.180714.755611_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,543,r,TEMPLATE,t,1.0702,1.044,0.187,4.706,22.699,1894.0,1.827,0.2711
30,4011,816,3,58313.992096,30.236,74.14,6.35,0.53,9,9,2.973e-06,2.546e-07,22.717,0.093002,ec0915.180714.755615_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,549,r,TEMPLATE,t,1.0693,1.395,0.245,4.235,22.963,1427.0,2.9730000000000003,0.2546
30,4011,816,3,58483.307844,30.236,14.97,6.89,1.06,9,9,6.004e-07,2.762e-07,,,ec0915.181231.807721_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,558,r,TEMPLATE,t,1.0532,1.074,0.185,3.676,22.939,1881.0,0.6004,0.2762
30,4011,816,3,58514.167879,30.236,31.57,6.69,0.57,9,9,1.266e-06,2.682e-07,23.644,0.230045,ec0915.190131.818095_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,566,r,TEMPLATE,t,0.9454,1.257,0.234,3.441,23.096,1460.0,1.266,0.2682
30,4011,816,3,58542.169323,30.236,24.46,6.95,1.38,9,9,9.806e-07,2.785e-07,23.921,0.308407,ec0915.190228.828457_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,572,r,TEMPLATE,t,0.9989,1.28,0.218,3.975,23.015,1388.0,0.9806,0.2785
30,4011,816,3,58572.174539,30.236,63.19,8.64,0.53,9,9,2.533e-06,3.464e-07,22.891,0.148451,ec0915.190330.843679_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,590,r,TEMPLATE,t,1.184,1.153,0.195,4.114,22.315,4416.0,2.5330000000000004,0.3464
30,4011,816,3,58572.188386,30.236,,,,0,0,,,,,ec0915.190330.843680_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,591,r,TEMPLATE,t,1.3795,1.166,0.086,4.293,22.668,3679.0,,
30,4011,816,3,58572.192189,30.236,,,,0,0,,,,,ec0915.190330.843681_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,592,r,TEMPLATE,t,2.2148,1.363,0.171,4.287,23.099,4218.0,,
30,4011,816,3,58572.195989,30.236,25.56,5.7,1.25,9,9,1.025e-06,2.285e-07,23.874,0.242111,ec0915.190330.843682_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,593,r,TEMPLATE,t,1.8544,1.235,0.172,4.959,22.755,4228.0,1.025,0.22849999999999998
30,4011,816,3,58572.199807,30.236,50.2,7.11,2.07,9,9,2.013e-06,2.849e-07,23.141,0.15369,ec0915.190330.843683_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,594,r,TEMPLATE,t,1.2969,1.278,0.167,4.807,22.543,3354.0,2.013,0.28490000000000004
30,4011,816,3,58578.203234,30.236,24.83,6.88,1.46,9,9,9.954e-07,2.758e-07,23.905,0.300895,ec0915.190405.846166_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,610,r,TEMPLATE,t,1.027,1.167,0.188,3.851,22.965,1590.0,0.9954000000000001,0.27580000000000005
30,4011,816,3,58639.019927,30.236,89.47,26.95,0.61,9,9,3.587e-06,1.08e-06,22.513,0.327025,ec0915.190605.862063_ooi_r_v1_N22_210220.966731_ooi_r_v1_N22.diff.fits,0x0000,616,r,TEMPLATE,t,0.1963,1.161,0.092,4.327,21.15,1063.0,3.587,1.08
