# wavelength_AA normalized_flux_plus_offset
# # Digitized from Rest+2012 SI Fig.S2 upper-left (lines_3.pdf)
# # Already continuum-normalized in the published figure; offset arbitrary.
5.254014776959321352e+03 4.295667084906631850e+00
5.255938565510048647e+03 4.131574283977752060e+00
5.257862354060775942e+03 3.897785271176987365e+00
5.259786142611503237e+03 3.788430277219200448e+00
5.261596767129834916e+03 3.741472459241879100e+00
5.263520555680562211e+03 3.648566824802176090e+00
5.265444344231289506e+03 3.770821286332110667e+00
5.267368132782016801e+03 3.758911971416711406e+00
5.269291921332744096e+03 3.678385153730419077e+00
5.271215709883472300e+03 3.743382530134079733e+00
5.273139498434199595e+03 3.777950843511272083e+00
5.276873911503258569e+03 3.273014213121283156e+00
5.278797700053985864e+03 3.401458464736734300e+00
5.280721488604713159e+03 3.539951582520864726e+00
5.282645277155440453e+03 3.469814878680635761e+00
5.286492854256895953e+03 3.810419758425813708e+00
5.288416642807623248e+03 3.874786551873056872e+00
5.290340431358350543e+03 3.856987469997894102e+00
5.292151055876682221e+03 3.851387801734787786e+00
5.294074844427409516e+03 3.956882956191789091e+00
5.295998632978136811e+03 3.982281860501746706e+00
5.297922421528864106e+03 3.979581652369966527e+00
5.299846210079591401e+03 3.939783164859094633e+00
5.301769998630318696e+03 3.894985818754245877e+00
5.303693787181045991e+03 3.894785803337077024e+00
5.305617575731774195e+03 3.906385170697626918e+00
5.307428200250105874e+03 3.800619766402161037e+00
5.309351988800833169e+03 3.747262218493057517e+00
5.311275777351560464e+03 3.789720453001702349e+00
5.313199565902287759e+03 3.748702024129624721e+00
5.317047143003742349e+03 3.913084923755161704e+00
5.318970931554469644e+03 3.909084615411784203e+00
5.320894720105196939e+03 3.860286960963557945e+00
5.322705344623529527e+03 3.780031156533353087e+00
5.324629133174256822e+03 3.796989715605832760e+00
5.326552921724984117e+03 3.825088828047570111e+00
5.328476710275711412e+03 3.738842485531395088e+00
5.330400498826438707e+03 3.851087778609034729e+00
5.332324287377166002e+03 3.757992053181259173e+00
5.334248075927893296e+03 3.634727590136384023e+00
5.336171864478620591e+03 3.762101530244694736e+00
5.338095653029347886e+03 3.616528477426883548e+00
5.339906277547679565e+03 3.570710441960375015e+00
5.341830066098407769e+03 3.685365081055514747e+00
5.343753854649135064e+03 3.593469448130752752e+00
5.345677643199862359e+03 3.714784142567042480e+00
5.347601431750589654e+03 3.733103111843319777e+00
