# wavelength_AA normalized_flux_plus_offset
# # Digitized from Rest+2012 SI Fig.S2 upper-left (lines_3.pdf)
# # Already continuum-normalized in the published figure; offset arbitrary.
5.268273445041182640e+03 3.283013457144481784e+00
5.270310397624306461e+03 3.183927957048358515e+00
5.272347350207429372e+03 3.184528003299865073e+00
5.274271138758156667e+03 3.127551092441152036e+00
5.276308091341279578e+03 3.142849981601703924e+00
5.278345043924402489e+03 3.002116996512330438e+00
5.280268832475130694e+03 2.847093596942100735e+00
5.282305785058253605e+03 2.995476790029372616e+00
5.284342737641376516e+03 3.029625223714035087e+00
5.286266526192103811e+03 2.903681164813194826e+00
5.288303478775227632e+03 3.306012939866035616e+00
5.290340431358350543e+03 3.305712916740282115e+00
5.292264219909077838e+03 3.290113241036354275e+00
5.294301172492200749e+03 3.452905941753637187e+00
5.296338125075323660e+03 3.436506967798656387e+00
5.298375077658447481e+03 3.438506358552722464e+00
5.300298866209174776e+03 3.684195525257412562e+00
5.302335818792297687e+03 3.060494015291225445e+00
5.304372771375420598e+03 3.372909699315178145e+00
5.306296559926147893e+03 3.197107598888067059e+00
5.308333512509271713e+03 3.163369120466838602e+00
5.310370465092394625e+03 3.213847057102808158e+00
5.312294253643121920e+03 3.228916157558902711e+00
5.314331206226244831e+03 3.144960067911073409e+00
5.316368158809367742e+03 3.113341600228310746e+00
5.318291947360095946e+03 3.185357838255828966e+00
5.322365852526341769e+03 3.309312430831699459e+00
5.324289641077069064e+03 3.087342649666846128e+00
5.326326593660192884e+03 3.273814274789958567e+00
5.328363546243315795e+03 3.104301972156948697e+00
5.332324287377166002e+03 3.331511088466954540e+00
5.334361239960288913e+03 2.938309788182587035e+00
5.336285028511016208e+03 3.010726057044443404e+00
5.338321981094140028e+03 3.007286097236187672e+00
5.340358933677262939e+03 3.022185718980024305e+00
5.342282722227990234e+03 3.012306331523602054e+00
5.344319674811113146e+03 3.129700876466906312e+00
5.346356627394236966e+03 3.215016612900910786e+00
5.348280415944964261e+03 3.085682979754918343e+00
5.350317368528087172e+03 3.084022546425367217e+00
5.352354321111210083e+03 3.122240759457080461e+00
5.354278109661937378e+03 3.152749981333941243e+00
5.356315062245061199e+03 3.294912847630785180e+00
5.358352014828184110e+03 3.364309799794538591e+00
5.360275803378911405e+03 3.337311535564852605e+00
5.362312755962034316e+03 3.367910077303578387e+00
5.364349708545157227e+03 3.252214899988587149e+00
5.366273497095885432e+03 3.527102500511820615e+00
5.368310449679008343e+03 3.552301389404609822e+00
5.370347402262131254e+03 3.502303642453370003e+00
5.372271190812858549e+03 3.329611705421473111e+00
5.374308143395981460e+03 3.313011952631701007e+00
5.376345095979105281e+03 3.264114290474890101e+00
5.378268884529832576e+03 3.079773363936962660e+00
5.380305837112955487e+03 3.151909458531258146e+00
5.382342789696078398e+03 3.191178134211919204e+00
5.384266578246805693e+03 3.367710061886409534e+00
5.386303530829929514e+03 3.401708102299383807e+00
5.388340483413052425e+03 3.558001065376299898e+00
5.390264271963779720e+03 3.435106859878474417e+00
5.392301224546902631e+03 3.328811643752797700e+00
5.394338177130025542e+03 3.256015192914795797e+00
5.396375129713149363e+03 3.258014583668861874e+00
5.398298918263876658e+03 3.357910069862756863e+00
5.400335870846999569e+03 3.233815771861917376e+00
5.402372823430122480e+03 3.203567638812048646e+00
5.404296611980849775e+03 3.128000745420970841e+00
5.406333564563973596e+03 3.111691854745478381e+00
5.408370517147096507e+03 3.008196091042544040e+00
5.410294305697823802e+03 3.090192487652691611e+00
5.412331258280946713e+03 3.184918109705106914e+00
5.414368210864070534e+03 3.150329947469721947e+00
5.416291999414797829e+03 3.037225046148829932e+00
5.418328951997920740e+03 2.958748768197329682e+00
