Teff,ebv,ln_sigma_mgb,ln_sigma_caii
4256.132650404613,0.48136988624274196,-0.23473753557118215,-0.5263241147314929
5384.496631646291,0.9893264021913201,-0.3042775295593615,-0.32473953452075205
5371.557658400828,0.9851459140868514,-0.3074828113867888,-0.31017305998401185
5369.903280844182,0.9671351228223618,-0.2987035535230359,-0.3233360626289139
4256.676539200734,0.48025706890930003,-0.22736891490165967,-0.5347000387771399
5405.91426888129,0.9918014593639163,-0.28135452161018415,-0.3145846321252871
5389.500450474413,0.9898720277910761,-0.29623225768621675,-0.3199809280365327
5396.028184369865,0.992319382924363,-0.3005772933829359,-0.34455653956458215
5395.6099123866015,0.9751977261813866,-0.29535579280156926,-0.31166439754551817
5408.980692175253,0.9859481634741444,-0.34510017556092054,-0.3077372229585843
5397.566107874778,0.9901712017468669,-0.3141578184985102,-0.3581705257558467
