group,ID,ra,dec,color,x,y,LC,LC_url
4,100,161.061475,-60.270563,white,3830,1342,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID100_lc.txt
4,101,161.059959,-60.270048,white,3840,1349,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID101_lc.txt
4,102,161.058262,-60.269472,white,3852,1357,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID102_lc.txt
4,103,161.056442,-60.268987,white,3864,1363,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID103_lc.txt
4,104,161.059649,-60.270922,white,3842,1337,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID104_lc.txt
4,105,161.058195,-60.270346,white,3852,1345,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID105_lc.txt
4,106,161.05674,-60.269832,white,3862,1352,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID106_lc.txt
4,107,161.061299,-60.269689,white,3831,1354,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID107_lc.txt
4,108,161.060027,-60.269054,white,3840,1362,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID108_lc.txt
4,109,161.058633,-60.268509,white,3849,1369,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID109_lc.txt
4,110,161.065965,-60.271777,white,3800,1326,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID110_lc.txt
4,111,161.064442,-60.272136,white,3811,1321,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID111_lc.txt
4,112,161.062862,-60.272193,white,3821,1320,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID112_lc.txt
4,113,161.061104,-60.271467,white,3833,1330,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID113_lc.txt
4,114,161.064131,-60.27325,white,3813,1306,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID114_lc.txt
4,115,161.064184,-60.274275,white,3812,1293,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID115_lc.txt
4,116,161.06273,-60.27367,white,3822,1301,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID116_lc.txt
4,117,161.065953,-60.273434,white,3800,1304,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID117_lc.txt
4,118,161.060851,-60.272823,white,3834,1312,,https://stsci-transients.stsci.edu/eta/etalc/results/rod_test/goodpos_z/ec0915/54/ec0915a54_goodpos_z_tmpl523733_ID118_lc.txt
