Teff,ln_sigma_mgb,ln_sigma_caii
6629.233326971891,-0.2247580637089607,-0.2750634787832518
6634.315450044511,-0.22622207867333494,-0.23828997125535784
5434.153608991909,-0.33593575809034804,-0.2991435852964833
5410.682167888215,-0.32392848151612363,-0.3887354371701643
6605.964535793584,-0.23555098675482875,-0.23549677847305775
5431.81400690604,-0.32914248283931397,-0.32074051479099164
6637.7678413742005,-0.22524420447519114,-0.27386072636919273
6622.191666785797,-0.2299294214633945,-0.24345316244953993
5427.636907350746,-0.305830890304456,-0.29601551956560757
5435.682333412705,-0.3234934395274998,-0.32683627166516427
5435.5851464408925,-0.3354901160940768,-0.3416518896941994
5420.657238890848,-0.3247743236627362,-0.3194152305567518
5436.008973403551,-0.3197110521697031,-0.34153394587474317
6625.261713324416,-0.22965806496636357,-0.24617681919553905
5425.815373753372,-0.3113182441656212,-0.3260314463641556
6609.405063270098,-0.22493867363007267,-0.25121286815140936
5429.082290088653,-0.3480520258213779,-0.3377532734381576
5425.427146846439,-0.3361356115278704,-0.3056720730599135
5417.086446948936,-0.360983256848334,-0.34304277506450326
5425.254094842773,-0.32096531972409253,-0.33485127009989074
5427.421086201828,-0.30854072567502305,-0.3083483180434741
5412.1981334260645,-0.3417919672294401,-0.33377182283200474
6635.562372072408,-0.22508004843190962,-0.2531799571607774
5408.435875618289,-0.3154568394750756,-0.3532156502576181
5433.535824221911,-0.3332548593043591,-0.30575362509175946
5438.429014809847,-0.34060205740421823,-0.31867787191221136
5416.558244843751,-0.321130064077403,-0.29458040085158155
6639.623750887532,-0.2233453283629504,-0.23075142606829277
5428.3543514136045,-0.3032075470456749,-0.2979307805143634
5427.768830375155,-0.34204213824622653,-0.33710333951721916
5428.403517295873,-0.28431912935560294,-0.3299122634058575
5420.001730644979,-0.31168696404354357,-0.35111407111344733
5435.880663834917,-0.3119943178018127,-0.32105544718556184
5426.380738406142,-0.3068503409448561,-0.30779037867180437
5411.502438641467,-0.36341186256956215,-0.3217780810721711
5424.817971725081,-0.366943798331416,-0.29068294697877967
5429.055338795088,-0.32969910542877146,-0.3100109335395815
5426.248561935202,-0.3584153391905055,-0.3235593030514281
5448.387214241073,-0.3060508093249492,-0.3154425945449169
5420.282219582408,-0.35425159558862573,-0.35485910486892003
5419.32537187449,-0.34043878427013946,-0.3366336368361681
5421.987756905145,-0.34272361319718847,-0.3294143592906825
5427.9294524959,-0.3344485994781855,-0.35100477097306426
5431.508437710573,-0.31879101534564264,-0.32818795031957765
5416.923137462247,-0.33704273256977507,-0.25181043832545486
5440.715704554531,-0.33487604146095074,-0.35783320181620365
5418.775784639921,-0.3851125636522523,-0.34199500830986823
5434.249841861105,-0.35487625614508755,-0.30362998105307987
6630.711010308453,-0.22483323957706922,-0.2699541906152486
6633.923153218523,-0.22643467777977128,-0.23884708876563138
5429.597901285547,-0.34405111479772454,-0.31366832832461544
5420.644561576293,-0.3334033247077155,-0.3517819486146904
6605.964535793584,-0.23555098675482875,-0.23549677847305775
5437.237998093177,-0.2823911024686647,-0.33811028220778017
6637.269937881172,-0.22528228939233944,-0.2740293276153657
6622.000014251132,-0.22994636132401217,-0.2432831338482262
5424.4789927329675,-0.3112339820364041,-0.30159379279931586
5426.860314465192,-0.3282911747172142,-0.2961913503805949
5441.844560565287,-0.3378044031205068,-0.34400022874621283
5419.324754691032,-0.313621410540827,-0.32192163613226665
5424.56540450595,-0.3458779589541214,-0.34306277907079347
6625.261713324416,-0.22965806496636357,-0.24617681919553905
5424.002361741828,-0.30754487537231184,-0.32309420887931556
6609.323757405883,-0.2251894617129513,-0.25084146863139445
5429.002966269573,-0.3447025435624814,-0.33363497878877885
5433.703170586379,-0.3493329812625344,-0.3164904379015154
5412.465048422602,-0.3760622972863182,-0.3499980162807126
5443.178232817511,-0.3363868168075811,-0.33665106803152045
5430.479710059878,-0.3351711029044515,-0.35657996327964386
5412.451199231217,-0.28978710957837206,-0.3390842284420371
6635.562372072408,-0.22508004843190962,-0.2531799571607774
5414.1779388815585,-0.3203010543208803,-0.3498265267076448
5433.971107500744,-0.33523122593752974,-0.3059066492883373
