ID,x,y,bsize,mjd,zpt,fluxADU,flux_err,X2norm,Npix,Nmask,Jyas2,Jyas2_err,SB,SB_err,fitsfile,skip,imID,filter,CONVOL00,PHOTNORM,KSUM00,FSIG00,FSCAT00,FWHM,M5SIGMA,SKYADU,muJyas2,muJyas2_err,im_expnum,g_ixs_flag,g_ims_flag
0,2069,2290,3,57764.169856,30.93,30.07,13.15,0.82,9,0,6.358e-07,2.78e-07,,,ec0915.170111.608550_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,211,z,TEMPLATE,t,1.0166,1.036,0.084,3.223,23.017,5463.0,0.6358,0.2779999999999999,608550,True,True
0,2069,2290,3,57764.173997,30.93,,,,0,0,,,,,ec0915.170111.608552_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,213,z,TEMPLATE,t,1.0238,1.009,0.087,3.249,23.002,5592.0,,,608552,False,True
0,2069,2290,3,57769.284073,30.93,32.14,12.68,1.47,9,0,6.797e-07,2.681e-07,,,ec0915.170116.609360_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,215,z,TEMPLATE,t,1.0088,1.215,0.182,3.106,23.36,4019.0,0.6797000000000001,0.2681,609360,True,True
0,2069,2290,3,57769.288221,30.93,,,,0,0,,,,,ec0915.170116.609362_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,217,z,TEMPLATE,t,1.024,1.159,0.159,3.224,23.352,4008.0,,,609362,False,True
0,2069,2290,3,57794.308614,30.93,41.8,12.81,2.26,9,0,8.839e-07,2.709e-07,24.034,0.332802,ec0915.170210.619020_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,229,z,TEMPLATE,t,1.0547,1.026,0.07,3.556,22.951,5954.0,0.8839,0.2709,619020,True,True
0,2069,2290,3,57795.317714,30.93,42.98,13.86,0.46,9,0,9.089e-07,2.931e-07,24.004,0.350147,ec0915.170211.619366_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,231,z,TEMPLATE,t,1.0196,1.097,0.087,2.856,23.098,6636.0,0.9089,0.2930999999999999,619366,True,True
0,2069,2290,3,57798.077705,30.93,18.87,13.33,1.47,9,0,3.99e-07,2.818e-07,,,ec0915.170214.620291_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,233,z,TEMPLATE,t,0.9492,1.03,0.077,3.336,22.915,6026.0,0.399,0.2818,620291,True,True
0,2069,2290,3,57822.338331,30.93,8.17,12.95,0.86,9,0,1.728e-07,2.739e-07,,,ec0915.170310.628200_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,235,z,TEMPLATE,t,0.9935,1.032,0.058,3.54,22.799,7383.0,0.1728,0.2739,628200,True,True
0,2069,2290,3,57822.342476,30.93,,,,0,0,,,,,ec0915.170310.628202_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,237,z,TEMPLATE,t,0.9911,1.044,0.062,4.153,22.606,7651.0,,,628202,False,True
0,2069,2290,3,57824.277361,30.93,20.56,28.22,0.12,9,0,4.348e-07,5.968e-07,,,ec0915.170312.628814_ooi_z_v1_N26_160306.523733_ooi_z_v1_N26.diff.fits,0x0000,239,z,TEMPLATE,t,1.0433,1.039,0.063,3.822,22.783,7234.0,0.4348,0.5968,628814,True,True
