mjd,mJyas2,mJyas2_err,phase,4model_flag
54441.34285453723,8.160490127385557,1.4346633229723271,-2988.65714546277,True
54442.337080537225,9.15163884650397,1.2574875797985197,-2987.662919462775,True
54479.278943537225,8.417158721602375,1.0120915666557693,-2950.721056462775,True
54480.27316953722,9.624403379969735,0.9243209702113477,-2949.7268304627796,True
54497.17337753723,8.383110298191609,1.5991836559194346,-2932.8266224627732,True
54505.207869537226,6.0613892660223465,2.571095552860895,-2924.7921304627744,True
54506.20772353723,8.55223259849388,1.5059938169773672,-2923.792276462773,True
54535.10946653722,6.63432373076265,1.1313587886185237,-2894.890533462778,True
54542.19633653723,10.37233198806735,1.0183225704836807,-2887.8036634627715,True
54543.190562537224,9.782648390942214,0.9142129147153811,-2886.8094374627763,True
54544.14381253722,7.820612634285146,1.15655608903319,-2885.8561874627776,True
