mjd,mJyas2,mJyas2_err,phase,4model_flag
56286.304405,3.24527612989266,0.4193055536598476,-1143.6955949999974,True
56286.3059,4.441845817062963,0.38994809094585536,-1143.6941000000006,True
56287.304405,4.464101523304484,0.23178598735505798,-1142.6955949999974,True
56287.3059,4.382562738306326,0.2123605709290261,-1142.6941000000006,True
56288.304405,3.989390944303722,0.25593422156345536,-1141.6955949999974,True
56288.3059,3.8154061040290577,0.23954434530569713,-1141.6941000000006,True
56289.304405,3.9822167415432697,0.18338744081542033,-1140.6955949999974,True
56290.3059,4.347334017066072,0.38065502527091055,-1139.6941000000006,True
56291.304405,4.119515986004481,0.18562422696506947,-1138.6955949999974,True
56291.3059,4.528953252237567,0.20110874538641355,-1138.6941000000006,True
56292.304405,4.337088943067792,0.18514358013814675,-1137.6955949999974,True
56292.3059,4.458326137608865,0.19654809589582392,-1137.6941000000006,True
56293.304405,4.217441533514507,0.21035793941158365,-1136.6955949999974,True
56294.304405,3.9160212283935056,0.404268229401831,-1135.6955949999974,True
56294.3059,4.303165757470766,0.36350637754225407,-1135.6941000000006,True
56295.304405,4.419740673590336,0.1640351361332491,-1134.6955949999974,True
56295.3059,4.2768638058493345,0.14826402832795815,-1134.6941000000006,True
56296.304405,4.756184222447644,0.18094577733289458,-1133.6955949999974,True
56296.3059,4.84749116491548,0.1693568192504384,-1133.6941000000006,True
56297.304405,4.251740568795731,0.17772941523852726,-1132.6955949999974,True
56297.3059,4.584027796018509,0.16791366663775753,-1132.6941000000006,True
56298.304405,4.6408421832366065,0.1674580032942871,-1131.6955949999974,True
56298.3059,4.626594004778133,0.16083679095182027,-1131.6941000000006,True
56299.304405,4.561935165014813,3.6300108180028463,-1130.6955949999974,True
56299.3059,9.355101717535184,3.8313867431853215,-1130.6941000000006,True
56300.304405,1.119356054701048,1.9359320379831606,-1129.6955949999974,True
56300.3059,2.7301920923572247,2.041954337188894,-1129.6941000000006,True
56301.304405,5.6815595453784615,1.0390048790643445,-1128.6955949999974,True
56301.3059,6.524693507412465,1.0817351376844349,-1128.6941000000006,True
56302.304405,3.3841039404083926,0.7365252493719052,-1127.6955949999974,True
56303.304405,4.768600998804994,0.6161783031614397,-1126.6955949999974,True
56303.3059,6.160396417600549,0.6109075986168886,-1126.6941000000006,True
56304.304405,3.8192539282104576,0.5426420498049247,-1125.6955949999974,True
56304.3059,5.446709714681164,0.529001524426991,-1125.6941000000006,True
56305.304405,4.285715764045245,0.6270454876899237,-1124.6955949999974,True
56305.3059,5.2212542189409055,0.6042438335921083,-1124.6941000000006,True
56306.304405,4.985739162470803,0.2534576616740079,-1123.6955949999974,True
56306.3059,4.53007191161131,0.25264604061649737,-1123.6941000000006,True
56307.304405,4.424592611846868,0.22139575457028152,-1122.6955949999974,True
56307.3059,4.164402789112074,0.23135797751282988,-1122.6941000000006,True
56308.304405,4.177058934691863,0.21227664120405562,-1121.6955949999974,True
56308.3059,4.646992532494154,0.22464331483043173,-1121.6941000000006,True
56309.304405,4.139725372294137,0.22358635687601922,-1120.6955949999974,True
56309.3059,3.8878495096646577,0.2388478007693324,-1120.6941000000006,True
56310.304405,3.840927870307907,0.3582141217322656,-1119.6955949999974,True
56310.3059,3.645161876297632,0.39059080535704205,-1119.6941000000006,True
56311.304405,4.049940259236477,0.3508510531746003,-1118.6955949999974,True
56311.3059,4.8868155034683145,0.348978849048802,-1118.6941000000006,True
56312.304405,3.263201628074339,0.46650860161542346,-1117.6955949999974,True
56312.3059,4.74513394988088,0.45427458089022904,-1117.6941000000006,True
56313.304405,4.370098197124105,0.2977548521381575,-1116.6955949999974,True
56313.3059,5.0317756463200105,0.2813660819844626,-1116.6941000000006,True
56314.304405,4.432087302156084,0.3369753014928748,-1115.6955949999974,True
56314.3059,4.803258465452672,0.3199632898417812,-1115.6941000000006,True
56315.304405,4.657728885730203,0.36403940564419973,-1114.6955949999974,True
56315.3059,4.313872362945126,0.3326438100855624,-1114.6941000000006,True
56316.304405,4.2395270292915415,0.35639964702706883,-1113.6955949999974,True
56316.3059,3.45464279636232,0.38366019497729126,-1113.6941000000006,True
56317.304405,4.054867799515126,0.20339449471466411,-1112.6955949999974,True
56317.3059,3.5756429856923018,0.22437438287741446,-1112.6941000000006,True
56318.304405,4.76241837630526,0.2951124602169907,-1111.6955949999974,True
56318.3059,4.1382862794559045,0.2666064269474288,-1111.6941000000006,True
56319.304405,4.5000502456561815,0.2705133525227101,-1110.6955949999974,True
56319.3059,3.643469312742347,0.24960151754077609,-1110.6941000000006,True
56320.304405,3.9614244897903936,0.43439258324595814,-1109.6955949999974,True
56320.3059,4.782010204129389,0.4035210333133018,-1109.6941000000006,True
56321.304405,3.048743444741753,0.42902666010584695,-1108.6955949999974,True
56322.304405,3.8950482019190273,0.37730118378067123,-1107.6955949999974,True
56322.3059,4.268292383723562,0.3817638859544211,-1107.6941000000006,True
56341.278127,11.062721313645627,0.4068382646341843,-1088.7218730000022,True
56341.28397,10.546289625460714,0.45211190114374444,-1088.7160300000032,True
56341.286605,10.158497511358137,0.4218253994787284,-1088.7133949999989,True
56342.278127,11.164345493496237,0.6415375040781357,-1087.7218730000022,True
56342.28397,9.875512482311592,0.6808838581053661,-1087.7160300000032,True
