Teff,ebv,ln_sigma_mgb,v_MarIMACS200,v_AprIMACS300,v_AprWFCCD,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD
5456.698658470384,0.9205210978632163,-0.37137470455414523,-287.26197796555465,-258.17622161709244,-307.95921824710655,0.17089481111469385,0.10232410260266013,0.46818630339780437
5478.090053439428,0.9201486655521347,-0.35009069835344675,-283.62667141683454,-254.0795028026,-323.8057194747324,0.5544801642987409,-0.03211527005407605,0.46383014377901627
5464.0742407239095,0.9292468202417831,-0.30062973479803345,-302.54080684288147,-292.7321955039868,-321.07381047764926,0.053677314736619075,0.09126735587379697,0.520445250795888
5487.751875947655,0.9395727643124866,-0.3424938965868311,-278.7942425843567,-247.26558452471812,-271.5163086258069,0.3492686477822612,0.061553517470823445,0.42174866830915564
5502.810748050512,0.9708965672971239,-0.36476802703283,-250.9476351055492,-262.60600274532027,-343.7823037976122,0.3345028533329281,-0.014061655287850208,0.5162519572797742
5477.561812856494,0.9499209206689131,-0.3468859867940195,-310.6035742894359,-249.25264745177063,-310.63365196005344,0.36644621899899876,-0.01904356650031804,0.4276609117134381
5454.354041378133,0.9292555821782622,-0.3575715297824819,-283.3050959590394,-256.00544666260635,-325.75925423915464,0.013217962582705856,0.00848701195101996,0.5255040011334001
5472.186395957872,0.9097987232152083,-0.3857896204140936,-258.01846462109256,-252.1327207401808,-314.1039862343582,0.12123469065860637,0.20869157432777471,0.6085739835962873
5455.7272429144205,0.8964853524008489,-0.36802123668846837,-304.8917528280501,-241.82865183774453,-307.56442634649864,0.3905684154811043,0.11681867313558075,0.5272471246842135
5457.091933500733,0.9440642784274538,-0.3599402090369918,-274.0346145444173,-276.52989869521775,-274.5301664992643,0.3316776617174564,0.11593905595570714,0.47843057223766694
5461.775496473561,0.9073991915627642,-0.38938820313653655,-281.0230574464992,-252.61727932344596,-316.87107686636875,0.28266907085823345,0.23018694784985805,0.569062855889886
5463.530169408745,0.9162604594548233,-0.32968265741067226,-276.5622830060571,-241.33631117481272,-339.04537290859713,0.3150547145299344,0.09593878974915826,0.5124015334452344
5446.950876228296,0.9113901836552714,-0.3271979171863329,-290.22344706540207,-237.77354178696632,-300.599208904213,0.4147372845968906,0.00768951837088222,0.5317470286619862
5480.219653720204,0.9597414321256333,-0.3335247668780885,-275.99605605719574,-262.7875222364294,-327.85413860297456,0.15879193509093878,-0.049425254736449875,0.5325515976074733
5458.292211329467,0.9486685244653256,-0.40759737665999857,-276.3493432832895,-264.5632908958056,-331.46735055741823,0.20442182422916982,0.1394579780186785,0.5132917576858813
5462.775715721859,0.9447637216007259,-0.39227216380752417,-261.51694300604464,-250.20551630246152,-327.4334044074608,0.3301572182423964,-0.08370859921876461,0.5045313494986061
5462.960409473676,0.9512579910425775,-0.3593739452588845,-276.4720471613195,-253.76425592095444,-314.2696781226651,0.08482245365470009,-0.03301093444763081,0.45399172751050126
5453.504571467689,0.9160732350820151,-0.3612153555969071,-271.1825400491353,-263.8748457360088,-320.30343450253133,0.37166684294919894,0.12381404582288205,0.5332036781921471
5474.817127520473,0.9200733629981842,-0.37520598190994775,-289.5824114247911,-251.53170462889474,-303.05075833718496,0.1609619543079106,0.1437063550822966,0.4900054265215402
5481.982121691938,0.9350565890750953,-0.384855795141093,-294.68243350101716,-245.44008864469842,-346.9969862152136,0.6479727424365195,-0.088645864468818,0.42426368987619884
5480.230082306366,0.9613338796174371,-0.3557637601546108,-291.45159512262484,-251.18174088769587,-322.5615989370456,0.10096259701120242,0.11337464497201642,0.5212410667481693
5477.86227845939,0.9321333184519179,-0.35904296304287875,-262.1683125624422,-257.9656580924928,-331.7383863099391,0.16410522888453427,0.1128642283036138,0.4694056733355594
5475.308650515215,0.9435972350098104,-0.4054684583120578,-283.0324203066817,-271.80172461320245,-336.6921531247228,0.3023143552877519,0.06901380135181281,0.5376456030405109
5472.3660531299365,0.936694777856128,-0.38012863984218465,-281.94055163624813,-247.809040357753,-327.58945506780236,0.05466074511333103,0.08208131678207492,0.46191963462331714
5482.972720931109,0.9358666617889193,-0.373472599945614,-274.44364823203716,-255.96903644432192,-296.8468389503346,0.43914426910864834,-0.021165831047127798,0.5266899182852449
5467.81052800455,0.9150427885896392,-0.39281784395220537,-256.35914215063593,-247.3965033805623,-315.0026350633266,0.14897281593862022,0.060727386922858825,0.46561718453431417
5462.522283268206,0.9262479116050614,-0.40759773282983874,-277.3438832920199,-259.0089001442869,-332.6867993253806,0.18359638987152402,0.12591927798617802,0.49029987082659016
5461.4144708745625,0.9422615683221256,-0.398950133683225,-257.8931712824159,-273.34500415105384,-299.48571358843253,0.1324860578835897,0.1064501583166801,0.5455008447541273
5471.609440222865,0.9307758873886809,-0.3586461559286079,-248.43952291330024,-265.2967294565896,-314.29153907156916,0.2543250205054634,0.09079321411516043,0.6020394687756025
5469.153858644266,0.9640886252561945,-0.3664681853204502,-276.0199037955307,-266.35607107681346,-336.72867811285585,0.12711394021727038,0.00022105090274959598,0.4737140413774138
5470.659915848988,0.9483137027599795,-0.3537819110185312,-244.1248905423359,-274.96450641627183,-348.8176607223469,0.27209299258938213,0.057698968874813863,0.48127359811198966
5464.124512943036,0.9352120726051025,-0.38024154917908926,-275.5465738638457,-257.29671068717425,-301.8209815179552,0.04591723231502359,-0.11409393690615549,0.40889940092098553
5459.106016003866,0.9377872207426662,-0.33614805137095344,-272.00592341721165,-250.2516805219006,-330.829508898374,0.37027257528445773,0.11922127635944268,0.5084362972413734
5460.831145121309,0.928638205973595,-0.33935281268946516,-280.7211066716925,-269.62538129346217,-320.513550560286,0.07696145889577011,-0.017502198044541454,0.42118296324991406
5477.930169486626,0.9366318775526646,-0.3749392184306143,-289.8039515604401,-257.9471145135365,-348.1353759437464,0.4070734246060457,-0.12141241662448655,0.5241187515630852
5447.493759427917,0.9226652134385095,-0.3969699031805739,-291.76423398818997,-237.81485392608187,-289.83789263833864,0.1398291974583799,0.10392614971624298,0.43303807444576486
5478.906927682036,0.9333359156714905,-0.39360918447883053,-279.9380381684354,-260.6203859411121,-302.1500284390343,0.4214947530009205,0.20158869189105277,0.4246048909386038
5468.0675239633365,0.9309086461268922,-0.36854772095613647,-291.73707579675636,-275.2472067335703,-339.2783758996108,0.12950786008046028,0.20021022185639187,0.46078434603357477
5478.374265388702,0.9551827833092374,-0.381477216318855,-240.09778045370956,-232.1564835277489,-283.5501221247382,0.033315424250241255,0.04862270237790444,0.4366369019779474
5484.66034203341,0.9302136133120678,-0.3749320439529125,-260.1005065619761,-247.5537123152274,-301.04034379412616,0.10620397199056014,0.032738899625883264,0.5136275183994121
5432.561697947851,0.9172260821338334,-0.3935219766655447,-273.57326125363636,-285.4606271539516,-331.63982503366486,0.43844621713069704,0.019726691809223332,0.5492864115087649
5473.030254835914,0.902639578689712,-0.3946305305682454,-262.84431311135063,-264.209038117067,-319.5217262202105,0.3959473989520268,0.13023248019610786,0.5750185884807846
5461.854635148587,0.9267239937380671,-0.3767818820359415,-255.80388068447795,-236.74021065699782,-327.52932019780303,0.2967907676236278,0.08160748048480335,0.4618471397575179
5471.038488640736,0.9167222220430676,-0.3632232312081956,-245.66155655336584,-257.40601757219116,-309.58940042137743,0.35840912183538437,0.05440721965339504,0.45927387633571526
5457.545693931866,0.945392917720438,-0.3480782766588799,-299.2184662637702,-283.0904756922907,-344.5520935646719,0.047061956567846674,0.0847914939257983,0.506782086589635
5479.605141842135,0.9489893928225737,-0.3870292584943986,-266.1844340125158,-259.0870910445725,-339.83288423301934,0.019218679228817648,0.0167257669298475,0.4366491451996885
5454.33353121837,0.9164165102470666,-0.38363510436933906,-283.5129262856817,-258.8983375689704,-297.8770188764302,0.11395507271640781,0.15967163720571617,0.49762715338199026
5475.386125448984,0.9455466539338405,-0.3763932508104963,-280.6649394961875,-251.5243495918895,-325.1236000651561,0.07945486188586237,0.0682668856588664,0.4200104817038187
5466.195053042824,0.9478612986684045,-0.4137633947372999,-278.7574270929657,-248.21946990385612,-305.14973442080463,0.15952857949173738,-0.008759412806658269,0.4924542785618373
5466.99271328013,0.9348829061101771,-0.4184226693161882,-252.0297318371394,-257.794643523075,-319.57586877629393,-0.18707306481389624,0.04154770712091716,0.431053954558847
5464.382685933918,0.938880262573866,-0.4017812750095461,-298.4765392311206,-248.44288408542667,-335.5917723512711,0.16897905313510625,0.03550035053469878,0.40464196539017233
5447.660337903698,0.9472790414303138,-0.3797062831519833,-266.3175644911627,-240.51660171169826,-309.8363953565303,0.05460958118808168,0.03458503337244301,0.4523710743945615
5447.889364904859,0.917204901364894,-0.338874210276846,-290.02012030788774,-261.4932983981072,-334.5440313084081,0.2852835894334751,0.023653400825730475,0.5140668220331693
5444.628518070801,0.9358236673316098,-0.40918381443470714,-274.2998804982895,-256.38592881732905,-316.88340624136606,0.4309386469374501,-0.009809936489652726,0.4785921512160911
5477.513219746721,0.9220647687137455,-0.40003196547242686,-255.19131071554855,-274.97939488606823,-338.98353939783885,0.073346147454242,0.08436685354841153,0.46182970383250255
5450.717863076236,0.9113690165694923,-0.3617051324237259,-294.73251621686177,-262.3261371063957,-300.6146703479767,0.1694684156717376,0.016911218335166258,0.5487417029397643
5450.6717516963945,0.9230191001588552,-0.39620453240405834,-290.18669307910585,-271.6640562089055,-292.4403405983942,0.08705310477309605,0.08175547038969169,0.4486131715976691
5477.02070014728,0.9235686941175948,-0.35465393038224213,-278.0064121977386,-255.0282583873161,-320.73309470391735,0.5870798088994219,-0.06378763608689067,0.46928620642181035
5465.624170790973,0.9276893466058669,-0.3449904421169895,-291.9429882609306,-272.8063628152494,-310.0096135152306,0.1409132313183691,0.05639694088778231,0.5205648716593636
5486.853574068086,0.9364522934545614,-0.3427360015894078,-279.4521426083775,-248.34426957925282,-278.00145869772365,0.39100472147837445,0.04499990688002202,0.4271449116906967
5503.986856334191,0.978991621013661,-0.3538791288195335,-251.09019368059444,-263.05933058296847,-337.7840056757876,0.24998233687839005,-0.0007561255611052281,0.5182895517485762
5468.825607577463,0.9462721198139349,-0.3632744585989354,-300.9190504233743,-251.07970187066974,-312.31590130603047,0.3816755910975278,-0.01655552347752452,0.4409941316799107
5458.425591952215,0.9331669403149215,-0.3341887488718722,-278.28463053957586,-266.80149248648996,-347.07844221261917,-0.06192531137953852,-0.04815574398493391,0.5803821678939136
5452.016804693028,0.899335945631688,-0.39397935537445106,-271.6171191135388,-263.237300595855,-322.4574416512854,0.31811768303214316,0.1489126793559857,0.6012707330518436
5452.91881327015,0.89365147625091,-0.3648938857843323,-305.51830739616673,-250.28802908079285,-302.7834076370056,0.33315156633288123,0.12996248468581328,0.5027132049517429
5452.677780212877,0.9351217647973893,-0.3661816661547663,-274.93508076187146,-277.5277064371584,-303.9422424843529,0.31877009192932626,0.09101970595033808,0.5003505983315356
5486.217945238072,0.9322223379902375,-0.37966905881536805,-264.09812819330944,-240.9473255638295,-291.12671521418423,0.38648111596515344,0.17512993362615561,0.5024428185413239
5455.6458484467985,0.9131190933148723,-0.3229797727601535,-280.9839605078446,-229.51091279303438,-327.39761232064234,0.3350994865514183,0.041929600742218895,0.5119953173811984
5457.684502596997,0.9099181069576933,-0.325968064202633,-270.8087558649801,-242.38552185474785,-322.87228946029643,0.1155420605309534,0.09229458365594786,0.5287473795168475
