wavelength_A,flux_pickles,sptype,teff_K
2460.0,1.544325917146594e-10,G0I,5508.08
2465.0,1.5553408561075344e-10,G0I,5508.08
2470.0,1.563976448348825e-10,G0I,5508.08
2475.0,1.570597124578299e-10,G0I,5508.08
2480.0,1.5756254634347044e-10,G0I,5508.08
2485.0,1.579471137214128e-10,G0I,5508.08
2490.0,1.582509817632527e-10,G0I,5508.08
2495.0,1.5851456258708652e-10,G0I,5508.08
2500.0,1.587802112013037e-10,G0I,5508.08
2505.0,1.590753778701881e-10,G0I,5508.08
2510.0,1.5940343489617703e-10,G0I,5508.08
2515.0,1.597603160874428e-10,G0I,5508.08
2520.0,1.601385968275082e-10,G0I,5508.08
2525.0,1.6052921492093475e-10,G0I,5508.08
2530.0,1.609272853864141e-10,G0I,5508.08
2535.0,1.6132815916503063e-10,G0I,5508.08
2540.0,1.6172196914965298e-10,G0I,5508.08
2545.0,1.6210439934827292e-10,G0I,5508.08
2550.0,1.624673728883863e-10,G0I,5508.08
2555.0,1.62825197769223e-10,G0I,5508.08
2560.0,1.6323327411971178e-10,G0I,5508.08
2565.0,1.6376623668268309e-10,G0I,5508.08
2570.0,1.6449892836778446e-10,G0I,5508.08
2575.0,1.655082737528346e-10,G0I,5508.08
2580.0,1.6686811654675893e-10,G0I,5508.08
2585.0,1.686553674495883e-10,G0I,5508.08
2590.0,1.7094511917115085e-10,G0I,5508.08
2595.0,1.7381292238827228e-10,G0I,5508.08
2600.0,1.7732733337272322e-10,G0I,5508.08
2605.0,1.8152225556011814e-10,G0I,5508.08
2610.0,1.8632485832004164e-10,G0I,5508.08
2615.0,1.9161908171305697e-10,G0I,5508.08
2620.0,1.9728887967751518e-10,G0I,5508.08
2625.0,2.0321606897244493e-10,G0I,5508.08
2630.0,2.092807455111867e-10,G0I,5508.08
2635.0,2.1536707139890865e-10,G0I,5508.08
2640.0,2.2135451804849993e-10,G0I,5508.08
2645.0,2.2713003700047807e-10,G0I,5508.08
2650.0,2.3257296088985413e-10,G0I,5508.08
2655.0,2.375825369771434e-10,G0I,5508.08
2660.0,2.4209842464095743e-10,G0I,5508.08
