wavelength_A,flux_bb_rel,teff_K
4344.0,1933896.570707511,5530.0
4346.0,1934789.6323377343,5530.0
4348.0,1935680.2725743738,5530.0
4350.0,1936568.4925987604,5530.0
4352.0,1937454.2936002647,5530.0
4354.0,1938337.6767762539,5530.0
4356.0,1939218.643332055,5530.0
4358.0,1940097.1944809316,5530.0
4360.0,1940973.3314440297,5530.0
4362.0,1941847.0554503663,5530.0
4364.0,1942718.3677367803,5530.0
4366.0,1943587.2695479034,5530.0
4368.0,1944453.7621361285,5530.0
4370.0,1945317.8467615717,5530.0
4372.0,1946179.5246920371,5530.0
4374.0,1947038.7972030013,5530.0
4376.0,1947895.6655775432,5530.0
4378.0,1948750.131106351,5530.0
4380.0,1949602.195087662,5530.0
4382.0,1950451.858827242,5530.0
4384.0,1951299.12363834,5530.0
4386.0,1952143.9908416742,5530.0
4388.0,1952986.461765375,5530.0
4390.0,1953826.5377449756,5530.0
4392.0,1954664.2201233625,5530.0
4394.0,1955499.5102507432,5530.0
4396.0,1956332.409484628,5530.0
4398.0,1957162.9191897789,5530.0
4400.0,1957991.0407381912,5530.0
4402.0,1958816.7755090492,5530.0
4404.0,1959640.1248887037,5530.0
4406.0,1960461.090270633,5530.0
4408.0,1961279.6730554095,5530.0
4410.0,1962095.8746506763,5530.0
4412.0,1962909.6964711056,5530.0
4414.0,1963721.1399383678,5530.0
4416.0,1964530.2064811045,5530.0
4418.0,1965336.8975348936,5530.0
4420.0,1966141.2145422085,5530.0
4422.0,1966943.1589524085,5530.0
4424.0,1967742.73222168,5530.0
4426.0,1968539.9358130242,5530.0
4428.0,1969334.7711962177,5530.0
4430.0,1970127.2398477776,5530.0
4432.0,1970917.3432509392,5530.0
4434.0,1971705.0828956154,5530.0
4436.0,1972490.4602783704,5530.0
4438.0,1973273.4769023883,5530.0
4440.0,1974054.1342774385,5530.0
4442.0,1974832.4339198445,5530.0
4444.0,1975608.377352458,5530.0
4446.0,1976381.9661046213,5530.0
4448.0,1977153.2017121376,5530.0
4450.0,1977922.0857172506,5530.0
4452.0,1978688.619668592,5530.0
4454.0,1979452.8051211715,5530.0
4456.0,1980214.6436363326,5530.0
4458.0,1980974.1367817307,5530.0
4460.0,1981731.2861312944,5530.0
4462.0,1982486.0932652026,5530.0
4464.0,1983238.5597698474,5530.0
4466.0,1983988.687237811,5530.0
4468.0,1984736.4772678248,5530.0
4470.0,1985481.9314647475,5530.0
4472.0,1986225.0514395407,5530.0
4474.0,1986965.838809215,5530.0
4476.0,1987704.2951968284,5530.0
4478.0,1988440.4222314379,5530.0
4480.0,1989174.2215480746,5530.0
4482.0,1989905.6947877177,5530.0
4484.0,1990634.8435972547,5530.0
4486.0,1991361.669629466,5530.0
4488.0,1992086.1745429828,5530.0
4490.0,1992808.3600022614,5530.0
4492.0,1993528.227677554,5530.0
4494.0,1994245.7792448846,5530.0
4496.0,1994961.0163860053,5530.0
4498.0,1995673.9407883848,5530.0
4500.0,1996384.5541451678,5530.0
4502.0,1997092.8581551441,5530.0
4504.0,1997798.8545227295,5530.0
4506.0,1998502.544957926,5530.0
4508.0,1999203.9311763,5530.0
4510.0,1999903.0148989565,5530.0
4512.0,2000599.797852492,5530.0
4514.0,2001294.2817689923,5530.0
4516.0,2001986.4683859828,5530.0
4518.0,2002676.3594464036,5530.0
4520.0,2003363.9566985972,5530.0
4522.0,2004049.2618962512,5530.0
4524.0,2004732.2767983994,5530.0
4526.0,2005413.0031693713,5530.0
4528.0,2006091.4427787769,5530.0
4530.0,2006767.5974014706,5530.0
4532.0,2007441.4688175325,5530.0
4534.0,2008113.058812226,5530.0
4536.0,2008782.369175984,5530.0
4538.0,2009449.4017043726,5530.0
4540.0,2010114.1581980651,5530.0
4542.0,2010776.640462817,5530.0
4544.0,2011436.850309435,5530.0
4546.0,2012094.7895537475,5530.0
4548.0,2012750.460016583,5530.0
4550.0,2013403.8635237385,5530.0
4552.0,2014055.0019059503,5530.0
4554.0,2014703.876998872,5530.0
4556.0,2015350.4906430445,5530.0
4558.0,2015994.8446838707,5530.0
4560.0,2016636.9409715745,5530.0
4562.0,2017276.7813612025,5530.0
4564.0,2017914.3677125666,5530.0
4566.0,2018549.7018902348,5530.0
4568.0,2019182.7857635003,5530.0
4570.0,2019813.6212063516,5530.0
4572.0,2020442.2100974522,5530.0
4574.0,2021068.5543201044,5530.0
4576.0,2021692.6557622347,5530.0
4578.0,2022314.5163163529,5530.0
4580.0,2022934.137879539,5530.0
4582.0,2023551.5223534098,5530.0
4584.0,2024166.6716440897,5530.0
4586.0,2024779.5876622,5530.0
4588.0,2025390.272322806,5530.0
4590.0,2025998.7275454171,5530.0
4592.0,2026604.9552539447,5530.0
4594.0,2027208.957376684,5530.0
4596.0,2027810.735846281,5530.0
4598.0,2028410.292599716,5530.0
4600.0,2029007.6295782682,5530.0
4602.0,2029602.7487274967,5530.0
4604.0,2030195.651997211,5530.0
4606.0,2030786.3413414487,5530.0
4608.0,2031374.8187184492,5530.0
4610.0,2031961.0860906197,5530.0
4612.0,2032545.1454245269,5530.0
4614.0,2033126.9986908592,5530.0
4616.0,2033706.647864398,5530.0
4618.0,2034284.0949240064,5530.0
4620.0,2034859.3418525932,5530.0
4622.0,2035432.3906370914,5530.0
4624.0,2036003.2432684326,5530.0
4626.0,2036571.9017415217,5530.0
4628.0,2037138.3680552156,5530.0
4630.0,2037702.6442122909,5530.0
4632.0,2038264.7322194267,5530.0
