Teff,ebv,ln_sigma_caii,v_MarIMACS200,v_AprIMACS300,v_AprWFCCD,ln_cal_blue_MarIMACS200,ln_cal_blue_AprIMACS300,ln_cal_blue_AprWFCCD,ln_cal_nir_MarIMACS200,ln_cal_nir_AprIMACS300,ln_cal_nir_AprWFCCD
5390.938521821258,0.9059267526523341,-0.6180809974736519,-333.2054528477713,-304.21438777059683,-349.07810224331047,0.5854994894020864,-0.01586195255131062,0.3131963249657169,0.6886263748438284,0.9995164739954902,0.7207697748533508
5391.9303664260915,0.8689843100973716,-0.6394398920931221,-335.8886652919409,-309.1631558708963,-346.9940529208989,-0.699936273634185,0.11197722960189728,0.3839778246636426,0.6356882078488526,0.9538615318344156,0.7181873877707526
5394.341568877228,0.8868931055910195,-0.5982980332719043,-337.604747791074,-303.927546590664,-349.87011655572417,0.01166190225035546,0.02237073804609213,0.27991347580591874,0.65050846854685,0.9659540358276377,0.7206450320773691
5399.375025079167,0.9011156608257506,-0.6044644263486824,-337.69162028816845,-307.3323778570573,-349.1714745064163,-0.16110727400227765,0.14662552766665524,0.4722504250082933,0.6728237588785437,0.987909905600792,0.7242407696597986
5404.449507319475,0.8765960663540542,-0.6050425541013357,-337.3892401565552,-308.5661282094482,-348.3633572672357,0.2692699609410407,0.2544271017806211,0.26664806349192427,0.6402312198751169,0.9850910327332206,0.6656912788401932
5392.919583090617,0.9014578947886656,-0.6012482766315063,-336.99679649477383,-307.707809565497,-349.6277916637704,0.18465701517502336,0.07729568279795829,0.31388659462303864,0.7064915036668065,0.9848558306472737,0.7227931179214626
5393.78648540748,0.8950514129035982,-0.6152274221231941,-337.5391621394894,-309.6315306302905,-348.0943745187865,-0.46767415771481896,0.014595253392390942,0.7429357585387537,0.6557694279117283,0.9607230215856393,0.7285539364779837
5399.422918787072,0.8743292630954166,-0.6242691391224642,-333.89541924698364,-309.3526694437731,-348.65007298789607,-0.06062349975867393,0.08946678279195665,0.429392959263935,0.628256095578443,0.9627127408245931,0.6795746341189276
5390.40064073464,0.9074157878662849,-0.6082934655132677,-337.1709124517104,-305.4226227484277,-345.37191836403065,-0.18512702578349155,-0.049404570435709665,0.5731915514390842,0.6926610654106701,1.007220161293243,0.7494633360973278
5393.6415575035935,0.8734694677964752,-0.6320321120756699,-336.987837656491,-304.3526567036619,-349.9438141229831,-0.10313891593262667,0.027919242998971354,0.26039355981414414,0.6288784652051643,0.9725257986126286,0.6949387732834227
5390.485936799273,0.8792090333097652,-0.6468530320104152,-336.6081431757465,-307.98988670939605,-345.6917580221373,0.2046999349148006,0.28174378851223864,0.04343305273032311,0.6689071365935111,0.9697916170040393,0.6986170039542512
5392.204421090185,0.8969101706578945,-0.6118619537806417,-337.8927171395621,-309.56467610555836,-349.05130002989154,0.46269327454961073,-0.20332120711685753,0.4233393272006355,0.6384756156707316,0.9935248760078657,0.7860816581917061
5392.580096484822,0.898932224309532,-0.6081793172828419,-336.07598045205776,-308.7245121217767,-344.57282951849334,-0.2179692972453612,-0.3258444486003617,-0.12398667558256521,0.659701642331644,0.9825554042173233,0.7185185481855092
