wavelength_A,flux,flux_err
5.07915000e+03,5.12159988e-02,
5.08106000e+03,4.70970012e-02,
5.08297000e+03,5.90290017e-02,
5.08488000e+03,5.96890002e-02,
5.08679000e+03,6.16599992e-02,
5.08870000e+03,7.15489984e-02,
5.09061000e+03,7.37890005e-02,
5.09252000e+03,6.54079989e-02,
5.09443000e+03,6.72070011e-02,
5.09634000e+03,5.68290018e-02,
5.09825000e+03,4.90540005e-02,
5.10016000e+03,4.90159988e-02,
5.10207000e+03,4.71239984e-02,
5.10398000e+03,4.74100001e-02,
5.10589000e+03,4.72860001e-02,
5.10780000e+03,4.86380011e-02,
5.10971000e+03,6.30849972e-02,
5.11162000e+03,7.81899989e-02,
5.11353000e+03,8.12499970e-02,
5.11544000e+03,7.25789964e-02,
5.11735000e+03,5.69300018e-02,
5.11926000e+03,4.19030003e-02,
5.12117000e+03,4.92179990e-02,
5.12308000e+03,4.88100015e-02,
5.12499000e+03,3.90999988e-02,
5.12690000e+03,5.29539995e-02,
5.12881000e+03,5.23209982e-02,
5.13072000e+03,5.01030013e-02,
5.13263000e+03,4.91300002e-02,
5.13454000e+03,5.36589995e-02,
5.13645000e+03,5.63119985e-02,
5.13836000e+03,5.28719984e-02,
5.14027000e+03,5.27549982e-02,
5.14218000e+03,5.59469983e-02,
5.14409000e+03,5.71729988e-02,
5.14600000e+03,5.73749989e-02,
5.14791000e+03,4.88150008e-02,
5.14982000e+03,4.70689982e-02,
5.15173000e+03,5.15469983e-02,
5.15364000e+03,5.81090003e-02,
5.15555000e+03,7.28219971e-02,
5.15746000e+03,6.58809990e-02,
5.15937000e+03,5.03330007e-02,
5.16128000e+03,4.48569991e-02,
5.16319000e+03,3.96310017e-02,
5.16510000e+03,2.94269994e-02,
5.16701000e+03,2.38470007e-02,
5.16892000e+03,4.29719985e-02,
5.17083000e+03,5.79820015e-02,
5.17274000e+03,7.04419985e-02,
5.17465000e+03,7.47660026e-02,
5.17656000e+03,6.65320009e-02,
5.17847000e+03,4.69399989e-02,
5.18038000e+03,3.57660018e-02,
5.18229000e+03,4.49480005e-02,
5.18420000e+03,5.40009998e-02,
5.18611000e+03,4.60340008e-02,
5.18802000e+03,4.43850011e-02,
5.18993000e+03,4.26370017e-02,
5.19184000e+03,4.88220006e-02,
5.19375000e+03,5.44850007e-02,
5.19566000e+03,5.93929999e-02,
5.19757000e+03,5.22649996e-02,
5.19948000e+03,5.13559990e-02,
5.20139000e+03,4.91300002e-02,
5.20330000e+03,4.91969995e-02,
5.20521000e+03,5.73190004e-02,
5.20712000e+03,5.33370003e-02,
5.20903000e+03,6.38479963e-02,
5.21094000e+03,6.67269975e-02,
5.21285000e+03,6.86260015e-02,
5.21476000e+03,6.58549964e-02,
5.21667000e+03,6.15530014e-02,
5.21858000e+03,6.45499974e-02,
5.22049000e+03,5.87170012e-02,
5.22240000e+03,4.97400016e-02,
5.22431000e+03,4.45430018e-02,
5.22622000e+03,4.70679998e-02,
5.22813000e+03,4.87480015e-02,
5.23004000e+03,5.36089987e-02,
5.23195000e+03,5.25229983e-02,
5.23386000e+03,5.34359999e-02,
5.23577000e+03,6.24359995e-02,
5.23768000e+03,8.57950002e-02,
5.23959000e+03,7.64190033e-02,
5.24150000e+03,6.29580021e-02,
5.24341000e+03,5.66990003e-02,
5.24532000e+03,5.40600009e-02,
5.24723000e+03,4.87289988e-02,
5.24914000e+03,5.59809990e-02,
5.25105000e+03,5.53889982e-02,
5.25296000e+03,5.07760011e-02,
5.25487000e+03,5.47190011e-02,
5.25678000e+03,5.68839982e-02,
5.25869000e+03,4.23349999e-02,
5.26060000e+03,2.71840002e-02,
5.26251000e+03,3.48890014e-02,
5.26442000e+03,4.32300009e-02,
5.26633000e+03,3.91409993e-02,
5.26824000e+03,4.93040010e-02,
5.27015000e+03,5.97870015e-02,
5.27206000e+03,6.38090000e-02,
5.27397000e+03,6.29009977e-02,
5.27588000e+03,6.27219975e-02,
5.27779000e+03,6.92830011e-02,
5.27970000e+03,7.10029975e-02,
5.28161000e+03,7.10290000e-02,
