wavelength_A,flux,flux_err
4.13600000e+03,-2.29681028e-18,
4.13800000e+03,3.30855867e-17,
4.14000000e+03,-1.82001986e-18,
4.14200000e+03,8.65798449e-18,
4.14400000e+03,-8.48949215e-19,
4.14600000e+03,-1.05264457e-17,
4.14800000e+03,-1.66564138e-18,
4.15000000e+03,1.13451800e-17,
4.15200000e+03,1.69566517e-17,
4.15400000e+03,-1.21243264e-18,
4.15600000e+03,-1.30949484e-18,
4.15800000e+03,1.28668474e-17,
4.16000000e+03,9.83586652e-18,
4.16200000e+03,-5.90263016e-18,
4.16400000e+03,2.06160518e-20,
4.16600000e+03,1.02740431e-17,
4.16800000e+03,1.90843620e-17,
4.17000000e+03,9.50548914e-19,
4.17200000e+03,-2.25708224e-18,
4.17400000e+03,2.97414878e-18,
4.17600000e+03,-3.63891475e-18,
4.17800000e+03,9.86233300e-18,
4.18000000e+03,2.46185428e-17,
4.18200000e+03,2.64372321e-18,
4.18400000e+03,-6.21856290e-19,
4.18600000e+03,6.61077824e-18,
4.18800000e+03,8.33503316e-17,
4.19000000e+03,2.48713254e-18,
4.19200000e+03,3.95011209e-18,
4.19400000e+03,-8.08093420e-18,
4.19600000e+03,6.00975790e-18,
4.19800000e+03,6.98848669e-18,
4.20000000e+03,4.85347604e-18,
4.20200000e+03,2.18878177e-17,
4.20400000e+03,1.34147983e-17,
4.20600000e+03,7.18293369e-18,
4.20800000e+03,5.33701315e-18,
4.21000000e+03,1.10839770e-17,
4.21200000e+03,1.07009775e-17,
4.21400000e+03,-1.11113323e-19,
4.21600000e+03,4.81380198e-18,
4.21800000e+03,1.39603140e-17,
4.22000000e+03,6.37207294e-18,
4.22200000e+03,1.32273534e-17,
4.22400000e+03,2.15027565e-18,
4.22600000e+03,-1.18451792e-17,
4.22800000e+03,8.35277553e-18,
4.23000000e+03,3.81091052e-19,
4.23200000e+03,4.54345909e-18,
4.23400000e+03,-3.21260303e-18,
4.23600000e+03,1.27213736e-17,
4.23800000e+03,1.22416519e-17,
4.24000000e+03,-8.33256833e-18,
4.24200000e+03,-7.39719994e-18,
4.24400000e+03,1.39724553e-17,
4.24600000e+03,8.21146578e-18,
4.24800000e+03,-5.29454735e-18,
4.25000000e+03,6.40876378e-19,
4.25200000e+03,2.45807658e-18,
4.25400000e+03,-4.83077241e-18,
4.25600000e+03,1.14037187e-18,
4.25800000e+03,3.69461461e-19,
4.26000000e+03,1.37268323e-17,
4.26200000e+03,3.05540955e-18,
4.26400000e+03,7.34445146e-18,
4.26600000e+03,1.23606666e-17,
4.26800000e+03,1.19839661e-17,
4.27000000e+03,7.89486323e-18,
4.27200000e+03,5.61046748e-18,
4.27400000e+03,1.02387564e-17,
4.27600000e+03,1.78162313e-17,
4.27800000e+03,4.72674618e-18,
4.28000000e+03,2.60891921e-17,
4.28200000e+03,-2.18075705e-18,
4.28400000e+03,1.54974736e-17,
4.28600000e+03,1.83009012e-17,
4.28800000e+03,2.38415559e-18,
4.29000000e+03,-4.85881384e-18,
4.29200000e+03,8.13536103e-18,
4.29400000e+03,2.73954609e-17,
4.29600000e+03,6.56805188e-18,
4.29800000e+03,3.08787081e-18,
4.30000000e+03,-1.30199707e-18,
4.30200000e+03,1.91066769e-18,
4.30400000e+03,1.48025079e-17,
4.30600000e+03,2.39889061e-17,
4.30800000e+03,8.32023341e-18,
4.31000000e+03,9.41695000e-18,
4.31200000e+03,9.92296203e-18,
4.31400000e+03,1.37808877e-17,
4.31600000e+03,4.55700417e-18,
4.31800000e+03,1.38905992e-17,
4.32000000e+03,-3.28118995e-18,
4.32200000e+03,-4.85669915e-18,
4.32400000e+03,-4.88486010e-18,
4.32600000e+03,1.18274370e-17,
4.32800000e+03,1.19569040e-17,
4.33000000e+03,1.01785294e-17,
4.33200000e+03,-7.03183344e-18,
4.33400000e+03,3.17616775e-17,
4.33600000e+03,1.43164556e-16,
4.33800000e+03,1.61189258e-16,
4.34000000e+03,2.08181323e-16,
4.34200000e+03,1.76332844e-16,
4.34400000e+03,1.04390723e-16,
4.34600000e+03,1.68390481e-17,
4.34800000e+03,1.17480145e-17,
4.35000000e+03,7.29461631e-18,
4.35200000e+03,2.04152030e-17,
4.35400000e+03,5.83729860e-18,
4.35600000e+03,1.92967208e-17,
4.35800000e+03,1.87951780e-17,
4.36000000e+03,8.03437220e-18,
4.36200000e+03,1.10740773e-17,
4.36400000e+03,2.09917876e-17,
4.36600000e+03,1.80591428e-17,
4.36800000e+03,2.03479846e-17,
4.37000000e+03,1.43217141e-17,
4.37200000e+03,2.11966480e-18,
4.37400000e+03,2.68713215e-19,
4.37600000e+03,9.07616731e-18,
4.37800000e+03,1.95355510e-17,
4.38000000e+03,2.15107905e-17,
4.38200000e+03,-4.75893964e-18,
4.38400000e+03,1.58279472e-17,
4.38600000e+03,9.34442198e-18,
4.38800000e+03,1.35351076e-17,
4.39000000e+03,-3.63590092e-18,
4.39200000e+03,1.13334108e-17,
4.39400000e+03,1.35162396e-17,
4.39600000e+03,1.46725578e-17,
4.39800000e+03,1.24089202e-17,
4.40000000e+03,1.19656618e-18,
4.40200000e+03,2.04799398e-17,
4.40400000e+03,7.41914421e-18,
4.40600000e+03,3.43085939e-18,
4.40800000e+03,1.66133982e-17,
4.41000000e+03,1.22204032e-17,
4.41200000e+03,1.54755616e-17,
4.41400000e+03,7.27245035e-18,
4.41600000e+03,1.11121715e-17,
4.41800000e+03,4.73796523e-18,
4.42000000e+03,-1.45863975e-18,
4.42200000e+03,2.95766431e-18,
4.42400000e+03,1.90528051e-17,
4.42600000e+03,4.93685419e-18,
4.42800000e+03,-5.44818995e-18,
4.43000000e+03,6.87677760e-18,
4.43200000e+03,1.89616729e-17,
4.43400000e+03,7.00503940e-18,
4.43600000e+03,1.84643389e-17,
4.43800000e+03,3.43023735e-18,
4.44000000e+03,1.07029892e-17,
4.44200000e+03,9.55909768e-18,
4.44400000e+03,1.82369353e-17,
4.44600000e+03,1.50013720e-17,
4.44800000e+03,1.82993742e-17,
4.45000000e+03,8.93133129e-18,
4.45200000e+03,6.91753196e-18,
4.45400000e+03,6.61201156e-18,
4.45600000e+03,1.73840608e-17,
4.45800000e+03,-4.87231673e-18,
4.46000000e+03,7.03026427e-18,
4.46200000e+03,7.32577703e-18,
4.46400000e+03,8.83837770e-18,
4.46600000e+03,3.17340199e-17,
4.46800000e+03,3.19961402e-17,
4.47000000e+03,3.93525882e-17,
4.47200000e+03,3.26587317e-17,
4.47400000e+03,2.80371677e-17,
4.47600000e+03,9.61116622e-18,
4.47800000e+03,1.67181027e-17,
4.48000000e+03,2.50110913e-17,
4.48200000e+03,1.23171925e-17,
4.48400000e+03,1.04243576e-17,
4.48600000e+03,1.26533413e-17,
4.48800000e+03,1.19282761e-17,
4.49000000e+03,1.32173015e-17,
4.49200000e+03,1.57714259e-17,
4.49400000e+03,1.85054365e-17,
4.49600000e+03,1.43411430e-17,
4.49800000e+03,1.50614601e-17,
4.50000000e+03,1.62962125e-17,
4.50200000e+03,1.19839082e-17,
4.50400000e+03,2.60839412e-17,
4.50600000e+03,5.23833588e-18,
