wavelength_A,flux,flux_err
3.92413182e+03,8.28436802e-17,
3.92527804e+03,2.96618166e-17,
3.92642426e+03,-1.23215228e-17,
3.92757048e+03,4.85537318e-17,
3.92871670e+03,3.81946719e-19,
3.92986292e+03,-1.09485618e-17,
3.93100914e+03,1.08228948e-17,
3.93215536e+03,8.21435810e-17,
3.93330159e+03,6.25561095e-17,
3.93444781e+03,-6.85644711e-20,
3.93559403e+03,-2.68522530e-17,
3.93674025e+03,1.47941213e-16,
3.93788647e+03,1.26686205e-16,
3.93903269e+03,5.02518608e-17,
3.94017891e+03,5.73856219e-17,
3.94132513e+03,-2.65234657e-18,
3.94247135e+03,-2.08098641e-17,
3.94361757e+03,2.55450612e-17,
3.94476379e+03,-1.55684937e-17,
3.94591001e+03,-1.84958859e-17,
3.94705623e+03,4.36851154e-17,
3.94820245e+03,2.26391624e-17,
3.94934867e+03,1.17848647e-16,
3.95049489e+03,1.26958433e-16,
3.95164111e+03,1.82374151e-17,
3.95278734e+03,-1.49218800e-17,
3.95393356e+03,3.32554532e-17,
3.95507978e+03,1.05930172e-16,
3.95622600e+03,1.41451574e-17,
3.95737222e+03,-3.29047220e-17,
3.95851844e+03,1.18537232e-17,
3.95966466e+03,1.01339995e-16,
3.96081088e+03,3.88900322e-17,
3.96195710e+03,2.28343047e-20,
3.96310332e+03,2.01385855e-17,
3.96424954e+03,1.24724328e-17,
3.96539576e+03,8.70144969e-17,
3.96654198e+03,1.15415439e-16,
3.96768820e+03,1.08808158e-16,
3.96883442e+03,1.58035093e-16,
3.96998064e+03,6.18520862e-17,
3.97112686e+03,3.68727901e-17,
3.97227308e+03,1.28429609e-17,
3.97341931e+03,1.56070380e-18,
3.97456553e+03,6.73830658e-17,
3.97571175e+03,1.41957957e-17,
3.97685797e+03,1.00695657e-17,
3.97800419e+03,6.16338116e-19,
3.97915041e+03,1.67942943e-17,
3.98029663e+03,-4.59615711e-18,
3.98144285e+03,1.46511967e-17,
3.98258907e+03,6.25057640e-17,
3.98373529e+03,1.99252126e-17,
3.98488151e+03,9.57112224e-17,
3.98602773e+03,4.20465170e-17,
3.98717395e+03,6.32823410e-17,
3.98832017e+03,2.40110531e-17,
3.98946639e+03,-1.44123214e-18,
3.99061261e+03,6.83418078e-17,
3.99175883e+03,1.52666092e-17,
3.99290505e+03,-2.15781726e-17,
3.99405128e+03,-3.32047110e-18,
3.99519750e+03,7.29832241e-17,
3.99634372e+03,5.19127369e-17,
3.99748994e+03,5.41284990e-17,
3.99863616e+03,4.48488130e-17,
3.99978238e+03,3.91004222e-18,
4.00092860e+03,4.03321603e-18,
4.00207482e+03,-1.39240917e-17,
4.00322104e+03,-2.26974803e-18,
4.00436726e+03,3.63089474e-17,
4.00551348e+03,1.32381373e-17,
4.00665970e+03,5.21590051e-17,
4.00780592e+03,-4.33051255e-19,
4.00895214e+03,-1.64119813e-17,
4.01009836e+03,-3.92393017e-18,
4.01124458e+03,1.37937463e-17,
4.01239080e+03,2.10789592e-17,
4.01353703e+03,6.76626048e-18,
4.01468325e+03,2.61290821e-17,
4.01582947e+03,7.37056175e-17,
4.01697569e+03,7.90672434e-17,
4.01812191e+03,8.91913120e-17,
4.01926813e+03,3.45172907e-17,
4.02041435e+03,-2.77067124e-18,
4.02156057e+03,6.58500288e-18,
4.02270679e+03,-1.03519462e-17,
4.02385301e+03,-2.66645951e-18,
4.02499923e+03,4.03642897e-17,
4.02614545e+03,1.75174652e-17,
4.02729167e+03,-1.03490593e-17,
4.02843789e+03,-1.80981675e-17,
4.02958411e+03,1.96234687e-17,
4.03073033e+03,2.36596982e-17,
4.03187655e+03,2.68534111e-17,
4.03302277e+03,1.00556344e-17,
4.03416900e+03,5.20130541e-17,
4.03531522e+03,2.31375437e-17,
4.03646144e+03,5.91054164e-17,
4.03760766e+03,2.22239740e-17,
4.03875388e+03,-8.45139614e-18,
4.03990010e+03,-1.34418512e-17,
